epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1_score,train_precision_NPancreas,train_recall_NPancreas,train_f1_NPancreas,train_precision_PPancreas,train_recall_PPancreas,train_f1_PPancreas,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_precision_NPancreas,val_recall_NPancreas,val_f1_NPancreas,val_precision_PPancreas,val_recall_PPancreas,val_f1_PPancreas,dataset,task
1,0.05669881273272701,0.7997159090909091,0.7801374604430381,0.7997159090909091,0.7683728745311267,0.6666666666666666,0.2909090909090909,0.4050632911392405,0.814873417721519,0.9554730983302412,0.8795900939368061,0.019121131222081287,0.9375,0.9380051129803728,0.9375,0.93771536513472,0.8723404255319149,0.8913043478260869,0.8817204301075269,0.9612403100775194,0.9538461538461539,0.9575289575289575,pancreas,classification
2,0.027734576511482537,0.9048295454545454,0.9059212519277373,0.9048295454545454,0.9053180335507921,0.788235294117647,0.8121212121212121,0.8,0.9419475655430711,0.9332096474953617,0.9375582479030755,0.01683844658757814,0.9659090909090909,0.9680014430014431,0.9659090909090909,0.9663529829545454,0.9,0.9782608695652174,0.9375,0.9920634920634921,0.9615384615384616,0.9765625,pancreas,classification
3,0.01910095574037934,0.9431818181818182,0.9434385419105922,0.9431818181818182,0.9433001522819905,0.874251497005988,0.8848484848484849,0.8795180722891566,0.9646182495344506,0.961038961038961,0.9628252788104089,0.015865798425776036,0.9488636363636364,0.9572314049586776,0.9488636363636364,0.9502252018030487,0.8363636363636363,1.0,0.9108910891089109,1.0,0.9307692307692308,0.9641434262948207,pancreas,classification
4,0.010984525347587558,0.9744318181818182,0.9751787308274278,0.9744318181818182,0.974638818227064,0.9248554913294798,0.9696969696969697,0.9467455621301775,0.9905838041431262,0.9758812615955473,0.983177570093458,0.0035872193667190995,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9923076923076923,0.9923076923076923,0.9923076923076923,pancreas,classification
5,0.008017192142274738,0.9801136363636364,0.9801136363636364,0.9801136363636364,0.9801136363636364,0.9575757575757575,0.9575757575757575,0.9575757575757575,0.987012987012987,0.987012987012987,0.987012987012987,0.002180520150762856,0.9943181818181818,0.9944390715667311,0.9943181818181818,0.9943377604667927,0.9787234042553191,1.0,0.989247311827957,1.0,0.9923076923076923,0.9961389961389961,pancreas,classification
6,0.013331619090422464,0.9673295454545454,0.9675797907782516,0.9673295454545454,0.9674311229834486,0.9226190476190477,0.9393939393939394,0.9309309309309309,0.9813432835820896,0.9758812615955473,0.9786046511627907,0.008484313873023812,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9923076923076923,0.9923076923076923,0.9923076923076923,pancreas,classification
7,0.0052794570807774025,0.9872159090909091,0.9873442497334755,0.9872159090909091,0.9872556568196102,0.9642857142857143,0.9818181818181818,0.972972972972973,0.9944029850746269,0.9888682745825603,0.9916279069767442,0.0004014395027215042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pancreas,classification
8,0.007721721190715802,0.9801136363636364,0.9800313561648537,0.9801136363636364,0.9800283926607168,0.968944099378882,0.9454545454545454,0.9570552147239264,0.9834254143646409,0.9907235621521335,0.9870609981515711,0.007255943174558607,0.9772727272727273,0.979090909090909,0.9772727272727273,0.9775686553030304,0.92,1.0,0.9583333333333334,1.0,0.9692307692307692,0.984375,pancreas,classification
9,0.004474743628138226,0.9900568181818182,0.9900413561427281,0.9900568181818182,0.9900463145544535,0.9817073170731707,0.9757575757575757,0.9787234042553191,0.9925925925925926,0.9944341372912802,0.9935125115848007,0.0019253497263310817,0.9943181818181818,0.9944390715667311,0.9943181818181818,0.9943377604667927,0.9787234042553191,1.0,0.989247311827957,1.0,0.9923076923076923,0.9961389961389961,pancreas,classification
10,0.005053883856569221,0.9900568181818182,0.9900435202268689,0.9900568181818182,0.9900250044556095,0.9876543209876543,0.9696969696969697,0.9785932721712538,0.9907749077490775,0.9962894248608535,0.9935245143385754,0.0017786983057290358,0.9943181818181818,0.9944390715667311,0.9943181818181818,0.9943377604667927,0.9787234042553191,1.0,0.989247311827957,1.0,0.9923076923076923,0.9961389961389961,pancreas,classification
